date,open,high,low,close,volume
2020-01-02 08:00:00,43.272,43.55,43.066,43.447,100
2020-01-02 09:00:00,43.298,43.576,42.123,42.665,126175
2020-01-02 10:00:00,42.493,42.845,41.877,42.378,248364
2020-01-02 11:00:00,42.19,42.47,41.74,42.308,264078
2020-01-02 12:00:00,42.155,42.479,41.283,41.726,194279
2020-01-02 13:00:00,41.544,41.843,41.162,41.579,137770
2020-01-02 14:00:00,41.428,41.843,41.184,41.622,122384
2020-01-02 15:00:00,41.459,42.0,41.249,41.9,299009
2020-01-02 16:00:00,41.731,42.0,41.533,41.9,227522
2020-01-02 17:00:00,41.731,42.0,41.533,41.9,201
2020-01-03 09:00:00,41.273,41.93,40.982,41.683,122673
2020-01-03 10:00:00,41.515,41.991,41.18,41.579,134933
2020-01-03 11:00:00,41.411,41.887,41.162,41.683,83312
2020-01-03 12:00:00,41.515,41.791,41.167,41.592,104954
2020-01-03 13:00:00,41.424,41.708,40.913,41.387,107421
2020-01-03 14:00:00,41.212,41.564,40.934,41.344,140122
2020-01-03 15:00:00,41.177,41.508,40.896,41.396,366160
2020-01-03 16:00:00,41.229,41.495,41.033,41.396,183135
2020-01-06 09:00:00,41.022,41.752,40.801,41.344,137764
2020-01-06 10:00:00,41.19,41.756,40.895,41.613,147927
2020-01-06 11:00:00,41.446,42.0,41.15,41.9,152182
2020-01-06 12:00:00,41.731,42.051,41.317,41.739,101426
2020-01-06 13:00:00,41.567,41.887,41.154,41.635,96170
2020-01-06 14:00:00,41.472,41.834,41.18,41.613,154798
2020-01-06 15:00:00,41.454,41.852,41.137,41.752,358764
2020-01-06 16:00:00,41.584,41.852,41.386,41.752,155362
2020-01-07 09:00:00,41.463,42.165,40.973,42.039,74887
2020-01-07 10:00:00,41.874,42.379,41.619,42.235,200893
2020-01-07 11:00:00,42.064,42.344,41.429,41.796,103225
2020-01-07 12:00:00,41.627,41.948,41.274,41.765,79169
2020-01-07 13:00:00,41.597,41.895,41.309,41.722,60241
2020-01-07 14:00:00,41.554,41.965,41.343,41.857,92131
2020-01-07 15:00:00,41.688,42.126,41.473,41.943,255321
2020-01-07 16:00:00,41.775,42.043,41.576,41.943,74656
2020-01-07 19:00:00,41.342,41.608,41.145,41.509,100
2020-01-08 09:00:00,41.835,42.427,41.507,42.326,56439
2020-01-08 10:00:00,42.155,42.54,41.589,42.117,133799
2020-01-08 11:00:00,41.974,42.479,41.731,42.239,64151
2020-01-08 12:00:00,42.069,42.366,41.714,42.1,87737
2020-01-08 13:00:00,41.93,42.444,41.714,42.287,137316
2020-01-08 14:00:00,42.116,42.444,41.847,42.317,109505
2020-01-08 15:00:00,42.155,42.514,41.757,42.222,318816
2020-01-08 16:00:00,42.052,42.322,41.851,42.222,184512
2020-01-09 09:00:00,42.138,42.505,41.257,42.222,61759
2020-01-09 10:00:00,42.043,42.374,41.61,42.156,190493
2020-01-09 11:00:00,41.956,42.296,41.662,42.178,95201
2020-01-09 12:00:00,42.004,42.313,41.438,41.857,137179
2020-01-09 13:00:00,41.697,41.974,41.343,41.709,109910
2020-01-09 14:00:00,41.55,41.991,41.326,41.857,162614
2020-01-09 15:00:00,41.688,42.0,41.352,41.883,222752
2020-01-09 16:00:00,41.714,41.982,41.516,41.883,62354
2020-01-10 08:00:00,41.186,41.451,40.99,41.353,100
2020-01-10 09:00:00,41.55,42.157,41.085,41.839,75599
2020-01-10 10:00:00,41.684,42.435,41.455,42.308,118168
2020-01-10 11:00:00,42.155,42.627,41.757,42.143,77069
2020-01-10 12:00:00,41.982,42.322,41.705,42.117,67057
2020-01-10 13:00:00,41.956,42.374,41.757,42.169,38002
2020-01-10 14:00:00,42.0,42.305,41.701,42.069,65467
2020-01-10 15:00:00,41.891,42.165,41.485,41.917,252711
2020-01-10 16:00:00,41.757,42.026,41.559,41.926,219005
2020-01-13 09:00:00,41.87,42.219,41.171,41.778,59419
2020-01-13 10:00:00,41.576,42.218,41.343,42.109,202262
2020-01-13 11:00:00,41.913,42.54,41.714,42.43,92142
2020-01-13 12:00:00,42.259,42.697,42.041,42.421,93547
2020-01-13 13:00:00,42.251,42.618,41.963,42.5,71097
2020-01-13 14:00:00,42.337,42.627,42.015,42.43,79317
2020-01-13 15:00:00,42.268,42.906,42.067,42.786,410829
2020-01-13 16:00:00,42.605,42.88,42.403,42.778,82720
2020-01-14 09:00:00,42.778,43.115,42.058,42.673,174802
2020-01-14 10:00:00,42.51,42.836,42.015,42.537,92143
2020-01-14 11:00:00,42.363,42.836,42.136,42.647,76903
2020-01-14 12:00:00,42.476,42.984,42.23,42.882,136725
2020-01-14 13:00:00,42.714,42.993,42.308,42.817,106957
2020-01-14 14:00:00,42.64,42.967,42.308,42.821,107597
2020-01-14 15:00:00,42.657,43.115,42.454,42.934,255689
2020-01-14 16:00:00,42.753,43.028,42.549,42.925,88174
2020-01-15 09:00:00,42.753,43.028,42.153,42.665,72547
2020-01-15 10:00:00,42.468,42.775,42.093,42.552,93947
2020-01-15 11:00:00,42.389,42.666,41.843,42.222,138925
2020-01-15 12:00:00,42.043,42.331,41.628,41.996,125927
2020-01-15 13:00:00,41.826,42.279,41.464,41.852,185457
2020-01-15 14:00:00,41.684,42.009,41.335,41.722,155233
2020-01-15 15:00:00,41.558,42.218,41.24,42.117,562805
2020-01-15 16:00:00,41.982,42.252,41.628,41.996,178234
2020-01-15 17:00:00,41.93,42.2,41.731,42.1,1223
2020-01-16 09:00:00,42.103,42.784,41.783,42.543,83568
2020-01-16 10:00:00,42.376,42.81,42.041,42.491,85339
2020-01-16 11:00:00,42.311,42.758,41.89,42.282,67902
2020-01-16 12:00:00,42.121,42.618,41.903,42.504,49720
2020-01-16 13:00:00,42.333,42.61,42.015,42.395,41083
2020-01-16 14:00:00,42.233,42.535,41.869,42.3,67170
2020-01-16 15:00:00,42.129,42.475,41.877,42.343,250343
2020-01-16 16:00:00,42.181,42.453,41.981,42.352,205491
2020-01-16 18:00:00,42.181,42.453,41.981,42.352,1207
2020-01-17 06:00:00,42.406,42.679,42.205,42.578,100
2020-01-17 07:00:00,42.415,42.688,42.213,42.586,141
2020-01-17 09:00:00,42.415,42.688,41.662,42.083,37986
2020-01-17 10:00:00,41.974,42.309,41.559,41.926,61984
2020-01-17 11:00:00,41.757,42.117,41.352,41.787,68302
2020-01-17 12:00:00,41.619,41.982,41.412,41.831,49950
2020-01-17 13:00:00,41.671,42.026,41.447,41.813,36456
2020-01-17 14:00:00,41.645,42.069,41.395,41.939,71230
2020-01-17 15:00:00,41.766,42.061,41.455,41.917,150367
2020-01-17 16:00:00,41.749,42.017,41.55,41.917,170171
2020-01-21 09:00:00,41.775,42.226,41.068,41.752,131238
2020-01-21 10:00:00,41.515,41.782,40.904,41.322,148447
2020-01-21 11:00:00,41.169,41.66,40.887,41.535,130439
2020-01-21 12:00:00,41.394,41.826,41.197,41.657,45563
2020-01-21 13:00:00,41.489,41.76,40.947,41.318,47972
2020-01-21 14:00:00,41.151,41.739,40.947,41.613,116516
2020-01-21 15:00:00,41.454,41.852,41.083,41.552,254646
2020-01-21 16:00:00,41.385,41.651,41.188,41.552,226458
2020-01-22 09:00:00,41.558,41.913,41.119,41.787,72794
2020-01-22 10:00:00,41.627,42.113,41.378,41.796,159382
2020-01-22 11:00:00,41.632,42.113,41.386,41.978,87088
2020-01-22 12:00:00,41.801,42.2,41.481,42.069,30417
2020-01-22 13:00:00,41.909,42.191,41.636,42.013,29274
2020-01-22 14:00:00,41.835,42.165,41.425,41.791,35586
2020-01-22 15:00:00,41.627,41.895,41.18,41.631,298556
2020-01-22 16:00:00,41.454,41.721,41.257,41.622,98489
2020-01-23 09:00:00,41.221,41.59,39.491,40.71,291675
2020-01-23 10:00:00,40.589,41.338,40.37,41.048,148449
2020-01-23 11:00:00,40.892,41.364,40.534,41.135,91991
2020-01-23 12:00:00,40.952,41.338,40.663,41.075,66793
2020-01-23 13:00:00,40.926,41.373,40.706,41.122,91603
2020-01-23 14:00:00,40.961,41.333,40.68,41.04,101657
2020-01-23 15:00:00,40.875,41.146,40.37,40.823,298837
2020-01-23 16:00:00,40.675,40.937,40.448,40.805,401805
2020-01-24 09:00:00,40.65,41.016,39.948,40.405,82205
2020-01-24 10:00:00,40.251,40.528,39.423,39.919,331460
2020-01-24 11:00:00,39.758,40.066,39.44,39.789,101435
2020-01-24 12:00:00,39.628,40.175,39.319,40.006,85520
2020-01-24 13:00:00,39.845,40.114,39.414,39.849,60087
2020-01-24 14:00:00,39.689,40.023,39.431,39.923,110098
